,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
96,96,2.0,0.3738,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист",Мы делаем жизнь людей лучше и безопаснее.
97,97,2.0,0.4943,"повышение, жизнь, результат, улучшение, рост, работник, мой, плата, заработный, специалист","Основная цель: Ведущая отрасль в России, расширения рынка ввода мощностей, продукции. Обеспечивающие и способствующие цели: 1.Работа - главный смысл жизни. 2. Улучшение труда - необходимо сократить документооборот - по станции >140тыс/год документов 3. В России все должны стремиться на работу в ГК - повышение заработной платы и улучшение нужд в городах-спутниках."
98,98,4.0,0.6918,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата","Изменить в корне структуру и политику управления: - исключить девизиональное управление, сформировав в ГК профильные департаменты (аналог ЯОК) - предоставить максимум полномочий генеральным директорам предприятий, включая кадровые решения по ЗГД, оплату труда, инвестиционные решения, социальную политику, закупку ТМЦ; - предоставить предприятиям возможность самостоятельного инвестиционного решения на модернизацию оборудования взамен изношенного с учетом суммы амортизационных отчислений"
99,99,3.0,0.1813,"лидер, продвижение, корпорация, выход, объект, использование, бизнес, очень, промышленность, технологический","""Работаем сегодня, создавая будущее"". В условиях быстрых изменений хотелось бы увидеть как можно больше реализаций тех технологических новшеств, тех проектов, которые сейчас пока еще только в виде идей или начинаний. Это очень важно чувствовать, что своим трудом ты можешь приблизить создание новых технологий, увидеть результаты своего труда."
100,100,4.0,0.3301,"процесс, снижение, срок, продукция, протекание, себестоимость, ответить, первый, сам, оплата",Снижение протекания процессов за счет налаживания горизонтального взаимодействия.
101,101,1.0,0.2573,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Развитие новых бизнесов
102,102,1.0,0.3013,"росатом, развитие, отрасль, сотрудник, атомный, страна, мир, уровень, энергия, мировой",Создание базы для развития следующих поколений.
103,103,8.0,0.4198,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Занятие лидирующей позиции.
104,104,0.0,0.3162,"аэс, обеспечение, качество, строительство, безопасность, вдохновлять, ядерный, население, электроэнергия, вид","Сильная Россия, с развитой экономикой и благополучным обществом (обладающим равными возможностями и социальными гарантиями, без большого разрыва между богатыми и бедными), которая может позволить себе вести независимую политику и выстраивает честные взаимоотношения с остальными странами, на взаимовыгодных условиях."
105,105,7.0,0.3021,"цель, труд, смысл, больший, ежедневный, большой, время, мероприятие, являться, уверенность","Идеи (цели), которые непосредственно связаны со стратегическими целями Росатома, в реализации которых я вижу свое непосредственное участие (весь мой ежедневный труд направлен на выполнение задач, обеспечивающих достижение ""больших целей"")."
106,106,3.0,0.2703,"лидер, продвижение, корпорация, выход, объект, использование, бизнес, очень, промышленность, технологический",Стать импортонезависимой в плане используемого программного обеспечения
107,107,8.0,0.3089,"новый, рынок, международный, продукт, технология, создание, российский, разработка, единый, внедрение",Выход на международные рынки
